(0, 0)
(2, 1)
(4, 2)
(6, 3)
(8, 3)
(10, 1)
(12, 2)
(14, 0)
(16, 2)
(18, 0)
(20, 1)
(22, 3)
(24, 1)
(26, 0)
(28, 2)
(30, 3)
(32, 0)
(34, 1)
(36, 3)
(38, 2)
(40, 0)
(42, 2)
(44, 1)
(45, 3)
(47, 1)
(49, 0)
(51, 2)
(53, 3)
(55, 0)
(57, 1)
(59, 3)
(60, 2)
(62, 0)
(64, 2)
(66, 3)
(68, 1)
(70, 0)
(72, 2)
(74, 3)
(76, 0)
(78, 1)
(80, 0)
(82, 2)
(83, 3)
(85, 1)
(87, 0)
(89, 2)
(91, 3)
(93, 0)
(94, 1)
(96, 0)
(98, 2)
average waiting time 9.38 
